location_id,timestamp,rainfall_1h,rainfall_3h,rainfall_24h,previous_rainfall,historical_flood,drainage_capacity,soil_saturation,flood_occurred
KHI-001,2026-08-28 06:00,45.2,120.5,180.3,85.4,1,0.45,0.78,1
KHI-001,2026-08-28 12:00,25.8,85.3,145.2,120.5,1,0.45,0.82,1
KHI-001,2026-08-29 06:00,8.5,22.1,45.8,145.2,1,0.45,0.65,0
KHI-002,2026-08-28 06:00,38.4,95.2,135.6,72.3,0,0.68,0.55,0
KHI-002,2026-08-28 12:00,18.2,65.8,105.4,95.2,0,0.68,0.62,0
KHI-002,2026-08-29 06:00,5.1,15.3,32.8,105.4,0,0.68,0.48,0
KHI-003,2026-08-28 06:00,42.1,110.8,165.4,78.9,1,0.52,0.71,1
KHI-003,2026-08-28 12:00,22.5,78.4,128.6,110.8,1,0.52,0.75,1
KHI-003,2026-08-29 06:00,6.8,18.9,38.2,128.6,1,0.52,0.58,0
KHI-004,2026-08-28 06:00,52.3,138.7,195.8,92.1,1,0.58,0.85,1
KHI-004,2026-08-28 12:00,31.2,98.5,168.4,138.7,1,0.58,0.88,1
KHI-004,2026-08-29 06:00,12.4,35.8,68.2,168.4,1,0.58,0.72,0
KHI-005,2026-08-28 06:00,28.5,72.4,98.6,55.2,0,0.72,0.45,0
KHI-005,2026-08-28 12:00,15.8,48.2,75.3,72.4,0,0.72,0.52,0
KHI-005,2026-08-29 06:00,4.2,12.5,28.4,75.3,0,0.72,0.38,0
KHI-006,2026-08-28 06:00,58.4,152.3,215.8,98.7,1,0.38,0.92,1
KHI-006,2026-08-28 12:00,35.6,112.8,185.4,152.3,1,0.38,0.95,1
KHI-006,2026-08-29 06:00,15.8,42.5,78.9,185.4,1,0.38,0.78,1
KHI-007,2026-08-28 06:00,32.4,88.5,125.3,65.8,0,0.65,0.58,0
KHI-007,2026-08-28 12:00,18.9,58.2,92.4,88.5,0,0.65,0.65,0
KHI-007,2026-08-29 06:00,7.5,20.1,42.8,92.4,0,0.65,0.52,0
KHI-008,2026-08-28 06:00,48.7,128.4,178.9,88.5,1,0.42,0.82,1
KHI-008,2026-08-28 12:00,28.3,92.1,148.5,128.4,1,0.42,0.88,1
KHI-008,2026-08-29 06:00,10.2,28.7,55.8,148.5,1,0.42,0.72,1
KHI-009,2026-08-28 06:00,62.1,168.5,235.4,105.2,1,0.32,0.95,1
KHI-009,2026-08-28 12:00,38.9,125.3,198.7,168.5,1,0.32,0.98,1
KHI-009,2026-08-29 06:00,18.5,48.9,85.4,198.7,1,0.32,0.82,1
KHI-010,2026-08-28 06:00,35.8,92.4,132.8,68.9,0,0.62,0.58,0
KHI-010,2026-08-28 12:00,20.5,62.8,98.5,92.4,0,0.62,0.65,0
KHI-010,2026-08-29 06:00,8.2,22.4,45.2,98.5,0,0.62,0.52,0
