location_id,timestamp,hour,day_of_week,traffic_volume,congestion,avg_speed,incidents,road_work,is_rush_hour
KHI-001,2026-08-28 08:00,8,3,4250,High,18,2,0,1
KHI-001,2026-08-28 12:00,12,3,3850,Medium,25,1,0,0
KHI-001,2026-08-28 18:00,18,3,4520,High,16,3,0,1
KHI-002,2026-08-28 08:00,8,3,2850,Medium,32,0,0,1
KHI-002,2026-08-28 12:00,12,3,2420,Low,38,0,0,0
KHI-002,2026-08-28 18:00,18,3,3180,Medium,28,1,0,1
KHI-003,2026-08-28 08:00,8,3,3250,Medium,28,1,0,1
KHI-003,2026-08-28 12:00,12,3,2980,Medium,32,0,0,0
KHI-003,2026-08-28 18:00,18,3,3580,High,22,2,0,1
KHI-004,2026-08-28 08:00,8,3,3680,High,20,2,1,1
KHI-004,2026-08-28 12:00,12,3,3150,Medium,28,1,1,0
KHI-004,2026-08-28 18:00,18,3,3920,High,18,3,1,1
KHI-005,2026-08-28 08:00,8,3,2150,Low,38,0,0,1
KHI-005,2026-08-28 12:00,12,3,1850,Low,42,0,0,0
KHI-005,2026-08-28 18:00,18,3,2480,Medium,32,1,0,1
KHI-006,2026-08-28 08:00,8,3,3850,High,22,3,0,1
KHI-006,2026-08-28 12:00,12,3,3420,Medium,28,2,0,0
KHI-006,2026-08-28 18:00,18,3,4180,High,18,4,0,1
KHI-007,2026-08-28 08:00,8,3,2680,Medium,35,1,0,1
KHI-007,2026-08-28 12:00,12,3,2250,Low,40,0,0,0
KHI-007,2026-08-28 18:00,18,3,2950,Medium,30,1,0,1
KHI-008,2026-08-28 08:00,8,3,3450,High,22,2,0,1
KHI-008,2026-08-28 12:00,12,3,2980,Medium,28,1,0,0
KHI-008,2026-08-28 18:00,18,3,3780,High,18,3,0,1
KHI-009,2026-08-28 08:00,8,3,2950,Medium,28,1,0,1
KHI-009,2026-08-28 12:00,12,3,2580,Medium,32,0,0,0
KHI-009,2026-08-28 18:00,18,3,3280,High,22,2,0,1
KHI-010,2026-08-28 08:00,8,3,3180,Medium,30,1,0,1
KHI-010,2026-08-28 12:00,12,3,2750,Medium,35,0,0,0
KHI-010,2026-08-28 18:00,18,3,3480,High,25,2,0,1
